id,title,publisher,month_published,year_published,top_sell_category,price_USD,genre,age_rating_PEGI,languages_interface,languages_spoken,recommended_graphics,user_ratings_positive,user_ratings_negative,user_ratings_total,user_ratings_pct
529340,Victoria 3,Paradox Interactive,10,2022,Gold,50,Simulation|Strategy,12,English|French|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Turkish,NA,Nvidia GeForce GTX 1660|AMD Radeon RX 5600 XT|Intel Arc A580,11019,5593,16612,0.66
1462040,FINAL FANTASY VII REMAKE INTERGRADE,Square Enix,06,2022,Gold,40,Action|Adventure|RPG,16,English|French|Italian|German|Spanish - Spain|Spanish - Latin America|Portuguese - Brazil|Simplified Chinese|Traditional Chinese|Japanese|Korean,English|French|German|Japanese,AMD Radeon RX 5700|NVIDIA GeForce GTX 1080,5220,570,5790,0.9
648800,Raft,Axolot Games,06,2022,Gold,20,Adventure|Indie|Simulation,NA,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Swedish,English,Nvidia GeForce GTX 1050,21429,1772,23201,0.92
1817070,Marvel’s Spider-Man Remastered,PlayStation Publishing LLC,08,2022,Gold,60,Action|Adventure|Casual,16,English|French|Italian|German|Spanish - Spain|Czech|Danish|Dutch|Finnish|Greek|Hungarian|Japanese|Korean|Norwegian|Polish|Portuguese - Portugal|Portuguese - Brazil|Russian|Spanish - Latin America|Swedish|Traditional Chinese,English|French|Italian|German|Spanish - Spain|Arabic|Japanese|Polish|Portuguese - Portugal|Portuguese - Brazil|Russian|Spanish - Latin America,NVIDIA GeForce GTX 1060|AMD Radeon RX 580,26403,981,27384,0.96
1687950,Persona 5 Royal,SEGA,10,2022,Gold,60,RPG,16,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Simplified Chinese|Traditional Chinese,English|Japanese,Nvidia GeForce GTX 760|AMD Radeon HD 7870,14390,354,14744,0.98
1904540,Football Manager 2023,SEGA,11,2022,Gold,NA,Simulation|Sports,3,English|French|Italian|German|Spanish - Spain|Danish|Dutch|Korean|Norwegian|Polish|Portuguese - Portugal|Simplified Chinese|Swedish|Turkish|Greek|Russian,NA,NA,4719,795,5514,0.86
1583230,High On Life,"Squanch Games, Inc.",12,2022,Gold,40,Action|Adventure,16,English|French|Italian|German|Spanish - Latin America,English,NVIDIA GeForce RTX 2060|AMD Radeon RX 5600 XT,7129,747,7876,0.91
1692250,F1® 22,Electronic Arts,07,2022,Gold,NA,Racing|Sports,3,English|French|Italian|German|Spanish - Spain|Dutch|Japanese|Portuguese - Brazil|Simplified Chinese|Polish|Russian,English|French|Italian|German|Spanish - Spain|Dutch|Japanese|Portuguese - Brazil|Simplified Chinese,NVIDIA GeForce GTX 1660 Ti|AMD Radeon RX 590|NVIDIA GeForce RTX 3070|AMD Radeon RX 6800|NVIDIA GeForce RTX 2070|AMD Radeon RX 6700 XT,6687,3659,10346,0.65
1593500,God of War,PlayStation Publishing LLC,01,2022,Gold,50,Action|Adventure|RPG,18,English|French|Italian|German|Spanish - Spain|Dutch|Japanese|Korean|Polish|Portuguese - Portugal|Portuguese - Brazil|Russian|Spanish - Latin America|Turkish|Traditional Chinese|Czech|Hungarian|Greek,English|French|Italian|German|Spanish - Spain|Japanese|Polish|Portuguese - Portugal|Portuguese - Brazil|Russian|Spanish - Latin America,NVIDIA GTX 1060|AMD Radeon RX 570,28665,983,29648,0.97
1313140,Cult of the Lamb,Devolver Digital,08,2022,Gold,25,Action|Adventure|Indie|Strategy,12,English|French|German|Spanish - Spain|Japanese|Korean|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese,NA,Nvidia GeForce GTX 1050|AMD Radeon R9 380,24408,2169,26577,0.92
1255630,WWE 2K22,2K,03,2022,Silver,NA,Simulation|Sports,16,English|French|Italian|German|Spanish - Spain|Arabic,English,Nvidia GeForce GTX 1070|AMD Radeon RX 580,3396,1250,4646,0.73
1703340,The Stanley Parable: Ultra Deluxe,Crows Crows Crows,04,2022,Silver,25,Adventure|Casual|Indie,12,English|French|Italian|German|Russian|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Simplified Chinese|Ukrainian,English,NA,11081,694,11775,0.94
1544020,The Callisto Protocol™,"KRAFTON, Inc.",12,2022,Silver,60,Action|Adventure,18,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Simplified Chinese|Spanish - Latin America|Russian,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Simplified Chinese,NVIDIA GeForce GTX 1070|AMD Radeon RX 5700,12996,8914,21910,0.59
1498570,THE KING OF FIGHTERS XV,SNK CORPORATION,12,2022,Silver,30,Action,12,English|Japanese|French|Italian|German|Spanish - Spain|Spanish - Latin America|Thai|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Korean|Arabic,Japanese,Nvidia GeForce GTX 1060|AMD Radeon RX 480,137,19,156,0.88
824550,SD GUNDAM BATTLE ALLIANCE,Bandai Namco Entertainment,08,2022,Silver,60,Action|RPG,12,English|French|Italian|German|Spanish - Spain|Thai|Portuguese - Brazil|Simplified Chinese|Traditional Chinese|Japanese|Korean|Spanish - Latin America,Japanese,Nvidia GeForce RTX 2080,2259,1392,3651,0.62
1029690,Sniper Elite 5,Rebellion,05,2022,Silver,50,Action|Adventure,16,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese,English,NA,2830,1048,3878,0.73
1253920,Rogue Legacy 2,Cellar Door Games,04,2022,Silver,25,Action|Adventure|Indie|RPG,NA,English|French|Italian|German|Spanish - Spain|Korean|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Turkish|Japanese,NA,Nvidia GeForce GTX 680|AMD Radeon R9 280X,3570,511,4081,0.87
1708520,F1® Manager 2022,Frontier Developments,08,2022,Silver,NA,Simulation|Strategy,3,English|French|Italian|German|Spanish - Spain|Dutch|Japanese|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Turkish,English|French|Italian|German|Spanish - Spain|Dutch|Japanese|Portuguese - Brazil|Simplified Chinese|Spanish - Latin America,Nvidia GeForce GTX 1080|AMD Radeon RX 580,3525,1273,4798,0.73
261550,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,10,2022,Silver,50,Action|Indie|RPG|Simulation|Strategy,16,English|Simplified Chinese|Turkish|Traditional Chinese|French|Italian|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Spanish - Latin America|German,English,NVIDIA GeForce GTX 1060|AMD Radeon RX 580,9774,1357,11131,0.88
1846380,Need for Speed™ Unbound,Electronic Arts,12,2022,Silver,70,Action|Racing,12,English|French|Italian|German|Spanish - Spain|Arabic|Japanese|Korean|Polish|Portuguese - Brazil|Simplified Chinese|Traditional Chinese,English|French|Italian|German|Spanish - Spain|Japanese|Polish|Simplified Chinese,AMD Radeon RX 5700|Nvidia GeForce RTX 2070,5565,2793,8358,0.67
1817190,Marvel’s Spider-Man: Miles Morales,PlayStation Publishing LLC,11,2022,Silver,50,Action|Adventure,16,English|French|Italian|German|Spanish - Spain|Czech|Danish|Dutch|Finnish|Greek|Hungarian|Japanese|Korean|Norwegian|Polish|Portuguese - Brazil|Portuguese - Portugal|Russian|Simplified Chinese|Spanish - Latin America|Swedish|Traditional Chinese,English|French|Italian|German|Spanish - Spain|Arabic|Japanese|Polish|Portuguese - Brazil|Portuguese - Portugal|Russian|Spanish - Latin America,NVIDIA GeForce GTX 1060|AMD Radeon RX 580,6191,389,6580,0.94
1824220,Chivalry 2,Tripwire Presents,06,2022,Silver,40,Action|Massively Multiplayer,18,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese,English,Nvidia GeForce GTX 1070|AMD Radeon RX Vega 56,9472,2116,11588,0.82
1361510,Teenage Mutant Ninja Turtles: Shredder's Revenge,Dotemu,06,2022,Silver,25,Action|Adventure|Casual|Indie,12,English|French|Italian|German|Spanish - Spain|Simplified Chinese|Traditional Chinese|Korean|Japanese|Portuguese - Brazil,English|Simplified Chinese|Traditional Chinese,NVIDIA GeForce GTS 450|AMD Radeon R7 250|Intel HD 630,5869,453,6322,0.93
1818750,MultiVersus,Warner Bros. Games,07,2022,Silver,NA,Action|Free To Play,12,English|French|Italian|German|Spanish - Spain|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Japanese|Korean|Traditional Chinese,English|French|Italian|German|Spanish - Spain|Portuguese - Brazil|Spanish - Latin America,Nvidia GeForce GTX 760|AMD Radeon R9 280|Intel Arc A310,66707,8818,75525,0.88
1919590,NBA 2K23,2K,09,2022,Silver,NA,Simulation|Sports,3,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Simplified Chinese|Traditional Chinese,English,NVIDIA GeForce GTX 770|AMD Radeon R9 270,3980,3474,7454,0.53
962130,Grounded,Xbox Game Studios,09,2022,Silver,40,Action|Adventure,12,English|French|Italian|German|Spanish - Latin America|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Japanese|Thai|Traditional Chinese|Turkish|Spanish - Spain|Arabic,English|Japanese,Nvidia GeForce GTX 1060|AMD Radeon RX 470,3934,724,4658,0.84
1657630,Slime Rancher 2,Monomi Park,09,2022,Silver,30,Action|Adventure|Casual|Indie|Simulation,NA,English|French|German|Japanese|Korean|Russian|Simplified Chinese|Spanish - Latin America|Portuguese - Brazil,NA,NVIDIA GeForce RTX 2070|AMD Radeon RX 5700,2453,367,2820,0.87
368260,Marvel's Midnight Suns,2K,12,2022,Silver,60,RPG|Strategy,12,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Simplified Chinese|Traditional Chinese,English|French|German|Spanish - Spain|Japanese|Korean|Simplified Chinese,AMD Radeon RX 5700|Nvidia GeForce GTX 1070,4372,1357,5729,0.76
1044720,Farthest Frontier,Crate Entertainment,10,2022,Silver,35,Indie|Simulation|Strategy,NA,English|French|Italian|German|Spanish - Spain|Czech|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Swedish|Traditional Chinese|Japanese|Ukrainian,English,NVIDIA GeForce GTX 980|AMD Radeon RX 590,1262,230,1492,0.85
1475810,Ghostwire: Tokyo,Bethesda Softworks,03,2022,Silver,60,Action,12,English|French|Italian|German|Spanish - Spain|Arabic|Spanish - Latin America|Portuguese - Brazil|Polish|Russian|Simplified Chinese|Traditional Chinese|Japanese|Korean,English|French|Italian|German|Spanish - Spain|Spanish - Latin America|Portuguese - Brazil|Polish|Russian|Japanese,Nvidia GeForce GTX 1080|AMD Radeon RX 5600 XT|Intel Arc A750,3044,721,3765,0.81
2208920,Assassin's Creed Valhalla,Ubisoft,12,2022,Silver,60,Action|Adventure|RPG,18,English|French|Italian|German|Spanish - Spain|Arabic|Simplified Chinese|Traditional Chinese|Korean|Spanish - Latin America|Japanese|Polish|Portuguese - Brazil|Russian,English|French|Italian|German|Spanish - Spain|Japanese|Portuguese - Brazil|Russian,AMD Radeon R9 380|NVIDIA GeForce GTX 960,3472,1939,5411,0.64
1608070,CRISIS CORE –FINAL FANTASY VII– REUNION,Square Enix,12,2022,Silver,50,Action|RPG,16,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Simplified Chinese|Traditional Chinese,English|Japanese,AMD Radeon RX 5500 XT|Intel Arc A750|NVIDIA GeForce GTX 1060,2353,241,2594,0.91
1237320,Sonic Frontiers,SEGA,11,2022,Silver,60,Action|Adventure,7,English|French|Italian|German|Spanish - Spain|Portuguese - Brazil|Polish|Russian|Simplified Chinese|Traditional Chinese|Japanese|Korean,English|French|Italian|German|Spanish - Spain|Japanese,NVIDIA GeForce GTX 1070|AMD Radeon RX Vega 56,10877,603,11480,0.95
1611910,"Warhammer 40,000: Chaos Gate - Daemonhunters",Frontier Foundry,05,2022,Silver,45,RPG|Strategy,18,English|French|Italian|German|Spanish - Spain|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Japanese|Korean,English,NVIDIA GeForce GTX 1060|AMD Radeon RX 580,3382,1120,4502,0.75
1621690,Core Keeper,Fireshine Games,08,2022,Silver,20,Action|Adventure|Indie|RPG|Simulation,7,English|Simplified Chinese|Thai|German|Japanese|Korean|Spanish - Spain|French|Italian|Portuguese - Brazil|Traditional Chinese|Russian|Ukrainian,NA,Nvidia GeForce GTX 1050 Ti|AMD Radeon R9 280X,4723,506,5229,0.9
1496790,Gotham Knights,Warner Bros. Games,10,2022,Silver,60,Action|Adventure|RPG,16,English|French|Italian|German|Spanish - Spain|Arabic|Japanese|Korean|Polish|Simplified Chinese|Spanish - Latin America|Traditional Chinese|Portuguese - Brazil,English|French|Italian|German|Spanish - Spain|Spanish - Latin America|Portuguese - Brazil,NVIDIA GeForce RTX 2070|AMD Radeon RX 5700 XT,5404,2107,7511,0.72
949230,Cities: Skylines II,Paradox Interactive,10,2023,Platinum,50,Simulation,3,English|French|Italian|German|Japanese|Korean|Polish|Russian|Simplified Chinese|Portuguese - Brazil|Traditional Chinese|Spanish - Spain,NA,Nvidia GeForce RTX 3080|AMD Radeon RX 6800 XT,17025,11987,29012,0.59
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,"FromSoftware, Inc.",08,2023,Platinum,60,Action,12,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Traditional Chinese,English|Japanese,NVIDIA GeForce GTX 1060|AMD Radeon RX 590|Intel Arc A750,36094,4966,41060,0.88
1774580,STAR WARS Jedi: Survivor™,Electronic Arts,04,2023,Platinum,70,Action|Adventure,12,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Simplified Chinese|Spanish - Latin America|Traditional Chinese,English|French|Italian|German|Spanish - Spain|Japanese|Polish|Portuguese - Brazil|Spanish - Latin America,Nvidia GeForce RTX 2070|AMD Radeon RX 6700 XT,16483,11555,28038,0.59
2195250,EA SPORTS FC™ 24,Electronic Arts,09,2023,Platinum,NA,Simulation|Sports,3,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Simplified Chinese|Spanish - Latin America|Traditional Chinese|Arabic|Czech|Danish|Dutch|Norwegian|Portuguese - Portugal|Russian|Swedish|Turkish,English|French|Italian|German|Spanish - Spain|Japanese|Polish|Portuguese - Brazil|Simplified Chinese|Spanish - Latin America|Arabic|Dutch|Russian,NVIDIA GeForce GTX 1660|AMD Radeon RX 5600 XT,7381,6014,13395,0.55
1272080,PAYDAY 3,Deep Silver,09,2023,Platinum,30,Action|Adventure|RPG,18,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Traditional Chinese|Turkish,English,Nvidia GeForce GTX 1080|AMD Radeon RX VEGA 56,12448,20888,33336,0.37
1326470,Sons Of The Forest,Newnight,02,2023,Platinum,30,Action|Adventure|Indie|Simulation,NA,English|French|Italian|German|Spanish - Spain|Czech|Finnish|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Swedish|Traditional Chinese|Turkish,English,NVIDIA GeForce GTX 1080 Ti|AMD Radeon RX 5700 XT,11054,1428,12482,0.89
1364780,Street Fighter™ 6,"CAPCOM Co., Ltd.",06,2023,Platinum,40,Action|Adventure,12,English|Japanese|French|Italian|German|Spanish - Spain|Arabic|Portuguese - Brazil|Polish|Russian|Simplified Chinese|Traditional Chinese|Korean|Spanish - Latin America,English|Japanese,AMD Radeon RX 5700XT,11369,1458,12827,0.89
1282100,REMNANT II®,Arc Games,07,2023,Platinum,50,Action|Adventure|RPG,18,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Portuguese - Brazil|Russian|Simplified Chinese,English|French|Italian|German|Spanish - Spain|Russian|Simplified Chinese,Nvidia GeForce RTX 2060|AMD Radeon RX 5700,17547,3884,21431,0.82
990080,Hogwarts Legacy,Warner Bros. Games,02,2023,Platinum,60,Action|Adventure|RPG,12,English|French|Italian|German|Spanish - Spain|Arabic|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Traditional Chinese,English|French|Italian|German|Spanish - Spain|Japanese|Portuguese - Brazil|Spanish - Latin America,NVIDIA GeForce 1080 Ti|AMD Radeon RX 5700 XT|INTEL Arc A770,129385,10485,139870,0.93
1086940,Baldur's Gate 3,Larian Studios,08,2023,Platinum,60,Adventure|RPG|Strategy,18,English|French|German|Spanish - Spain|Polish|Russian|Simplified Chinese|Turkish|Portuguese - Brazil|Italian|Spanish - Latin America|Traditional Chinese|Ukrainian|Korean|Japanese,English,Nvidia GeForce RTX 2060 Super|Intel Arc A580,241572,9765,251337,0.96
2050650,Resident Evil 4,"CAPCOM Co., Ltd.",03,2023,Platinum,40,Action|Adventure,18,English|French|Italian|German|Spanish - Spain|Arabic|Japanese|Korean|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Spanish - Latin America,English|French|Italian|German|Spanish - Spain|Japanese|Portuguese - Brazil|Russian|Simplified Chinese,AMD Radeon RX 5700|NVIDIA GeForce GTX 1070,46812,1444,48256,0.97
1716740,Starfield,Bethesda Softworks,09,2023,Platinum,70,RPG,18,English|French|Italian|German|Spanish - Spain|Japanese|Polish|Portuguese - Brazil|Simplified Chinese,English|French|German|Spanish - Spain|Japanese,AMD Radeon RX 6800 XT|NVIDIA GeForce RTX 2080,53302,20482,73784,0.72
1971870,Mortal Kombat 1,Warner Bros. Games,09,2023,Gold,50,Action,18,English|French|Italian|German|Spanish - Spain|Arabic|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Traditional Chinese|Korean,English|French|Italian|German|Spanish - Spain|Portuguese - Brazil|Spanish - Latin America,Nvidia GeForce RTX 2080 Ti|AMD Radeon RX 5700 XT|Intel Arc A770,7346,2517,9863,0.74
1669000,Age of Wonders 4,Paradox Interactive,05,2023,Gold,50,RPG|Strategy,16,English|French|German|Spanish - Spain|Japanese|Korean|Polish|Russian|Simplified Chinese,English,Nvidia GeForce GTX 1070 Ti|AMD Radeon RX 5700 XT,5829,1478,7307,0.8
2399830,ARK: Survival Ascended,Studio Wildcard,10,2023,Gold,45,Action|Adventure|Indie|Massively Multiplayer|RPG|Early Access,16,English|French|Italian|German|Spanish - Spain|Danish|Dutch|Japanese|Korean|Portuguese - Brazil|Portuguese - Portugal|Russian|Simplified Chinese|Spanish - Latin America|Traditional Chinese|Turkish,English,AMD Radeon RX 6800|NVIDIA GeForce RTX 3080,18494,14276,32770,0.56
1260320,Party Animals,Source Technology,09,2023,Gold,20,Action|Casual|Indie,7,English|Simplified Chinese|Traditional Chinese|French|German|Spanish - Spain|Japanese|Korean|Portuguese - Brazil|Thai,English|Simplified Chinese|Traditional Chinese,NVIDIA GeForce GTX 1060|AMD Radeon RX 580|Intel Arc A380,14002,6521,20523,0.68
668580,Atomic Heart,Focus Entertainment,02,2023,Gold,60,Action|Adventure|RPG,18,English|French|German|Spanish - Spain|Japanese|Russian|Simplified Chinese|Korean|Polish|Portuguese - Brazil|Italian|Traditional Chinese|Ukrainian,English|French|German|Spanish - Spain|Japanese|Russian|Simplified Chinese|Polish|Portuguese - Brazil|Italian,AMD Radeon RX 6700 XT|NVIDIA GeForce RTX 2070,12980,2183,15163,0.86
2252570,Football Manager 2024,SEGA,11,2023,Gold,NA,Simulation|Sports|Strategy,3,English|French|Italian|German|Spanish - Spain|Danish|Dutch|Greek|Japanese|Korean|Norwegian|Polish|Portuguese - Portugal|Russian|Simplified Chinese|Swedish|Turkish,NA,NA,6261,858,7119,0.88
671860,BattleBit Remastered,SgtOkiDoki,06,2023,Gold,15,Action|Massively Multiplayer|Early Access,NA,English|French|Italian|German|Spanish - Spain|Arabic|Czech|Dutch|Finnish|Hungarian|Japanese|Korean|Norwegian|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Turkish|Ukrainian|Vietnamese|Belarusian|Estonian|Macedonian|Serbian|Slovak|Swedish,NA,Nvidia Geforce GTX 600,59613,6752,66365,0.9
1868140,DAVE THE DIVER,MINTROCKET,06,2023,Gold,20,Adventure|Casual|RPG|Simulation,12,English|Korean|Japanese|Simplified Chinese|German|Spanish - Spain|Traditional Chinese|French|Portuguese - Brazil|Italian|Russian,NA,NVIDIA Geforce GTX 750 Ti|AMD Radeon R9 270X,31977,1154,33131,0.97
1448440,Wo Long: Fallen Dynasty,"KOEI TECMO GAMES CO., LTD.",03,2023,Gold,40,Action|Adventure|RPG,16,English|French|Italian|German|Spanish - Spain|Portuguese - Brazil|Russian|Simplified Chinese|Traditional Chinese|Japanese|Korean,English|Simplified Chinese|Japanese,Nvidia GeForce RTX 2060|AMD Radeon RX 5700 XT,7316,9212,16528,0.44
1304930,The Outlast Trials,Red Barrels,03,2023,Gold,40,Action|Adventure|Indie,NA,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Portuguese - Brazil|Russian|Simplified Chinese|Spanish - Latin America|Turkish|Traditional Chinese,English|French,NVIDIA GeForce GTX 1660|AMD Radeon RX Vega 56|Intel Arc A580,2701,273,2974,0.91
2073850,THE FINALS,Embark Studios,12,2023,Gold,0,Action|Free To Play,NA,English|French|German|Spanish - Spain|Japanese|Korean|Portuguese - Brazil|Simplified Chinese|Traditional Chinese|Polish|Turkish,English,NVIDIA GeForce RTX 2070|AMD Radeon RX 5700 XT,82940,29920,112860,0.73
1693980,Dead Space,Electronic Arts,01,2023,Gold,60,Action|Adventure,18,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Polish|Simplified Chinese|Spanish - Latin America|Traditional Chinese|Portuguese - Brazil,English|French|Italian|German|Spanish - Spain|Polish|Simplified Chinese,AMD Radeon RX 6700 XT|Nvidia Geforce RTX 2070,18534,1764,20298,0.91
1562430,DREDGE,Team17,03,2023,Silver,25,Adventure|RPG,12,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Russian|Simplified Chinese|Traditional Chinese|Portuguese - Brazil|Polish,NA,Nvidia GeForce GTS 450|AMD Radeon HD 5770,8664,356,9020,0.96
2338770,NBA 2K24,2K,09,2023,Silver,NA,Simulation|Sports,3,English|French|Italian|German|Spanish - Spain|Japanese|Korean|Simplified Chinese|Traditional Chinese,English,NVIDIA GeForce GTX 770|AMD Radeon R9 270,1458,9700,11158,0.13
